generation,prompt,acc,f1,tokens,rank,crowding_distance
0,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.76,0.7073170731707317,14,0,inf
0,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.7,0.7580645161290323,11,0,inf
1,"""Classifique o sentimento desta resenha de filme como 'positivo' ou 'negativo'.""",0.79,0.7961165048543689,16,0,inf
1,"""Classifique a seguinte resenha de filme como positiva ou negativa.""",0.77,0.7722772277227723,13,0,1.2777777777777777
1,"""Determine se a crítica é positiva ou negativa.""",0.75,0.7619047619047619,11,0,1.2777777777777777
1,"""Classifique esta avaliação como positiva ou negativa.""",0.7,0.7272727272727273,10,0,inf
2,"""Classifique o sentimento desta resenha de filme como 'positivo' ou 'negativo'.""",0.79,0.7961165048543689,16,0,inf
2,"""Classifique a seguinte resenha de filme como positiva ou negativa.""",0.77,0.7722772277227723,13,0,1.2777777777777777
2,"""Determine se a crítica é positiva ou negativa.""",0.75,0.7619047619047619,11,0,1.2777777777777777
2,"""Classifique esta avaliação como positiva ou negativa.""",0.7,0.7272727272727273,10,0,inf
3,"""Classifique o sentimento desta resenha de filme como 'positivo' ou 'negativo'.""",0.79,0.7961165048543689,16,0,0.7222222222222222
3,"""Classifique o sentimento desta crítica de filme como 'positivo' ou 'negativo'.""",0.79,0.8,16,0,inf
3,"""Classifique a seguinte resenha de filme como positiva ou negativa.""",0.77,0.7722772277227723,13,0,0.5555555555555556
3,"""Determine se esta crítica de filme é positiva ou negativa.""",0.77,0.7628865979381443,13,0,0.7222222222222222
3,"""Determine se a crítica é positiva ou negativa.""",0.75,0.7619047619047619,11,0,1.2777777777777777
3,"""Classifique esta avaliação como positiva ou negativa.""",0.7,0.7272727272727273,10,0,inf
4,"""Classifique a resenha do filme como 'positiva' ou 'negativa'.""",0.8,0.803921568627451,14,0,inf
4,"""Classifique a seguinte resenha de filme como positiva ou negativa.""",0.77,0.7722772277227723,13,0,0.35
4,"""Determine se esta crítica de filme é positiva ou negativa.""",0.77,0.7628865979381443,13,0,0.55
4,"""Classifique esta resenha de filme como positiva ou negativa.""",0.76,0.75,12,0,0.7
4,"""Determine se a crítica é positiva ou negativa.""",0.75,0.7619047619047619,11,0,1.1
4,"""Classifique esta avaliação como positiva ou negativa.""",0.7,0.7272727272727273,10,0,inf
5,"""Classifique esta resenha de filme como sendo positiva ou negativa.""",0.81,0.8041237113402062,13,0,inf
5,"""Classifique esta resenha de filme como positiva ou negativa.""",0.76,0.75,12,0,0.4242424242424242
5,"""Classifique esta crítica de filme como positiva ou negativa.""",0.76,0.7333333333333333,12,0,0.7878787878787878
5,"""Determine se a crítica é positiva ou negativa.""",0.75,0.7619047619047619,11,0,1.212121212121212
5,"""Classifique esta avaliação como positiva ou negativa.""",0.7,0.7272727272727273,10,0,inf
6,"""Classifique esta resenha de filme como sendo positiva ou negativa.""",0.81,0.8041237113402062,13,0,inf
6,"""Classifique esta avaliação de filme como positiva ou negativa.""",0.79,0.7878787878787878,12,0,1.212121212121212
6,"""Determine se a crítica é positiva ou negativa.""",0.75,0.7619047619047619,11,0,1.4848484848484849
6,"""Classifique esta avaliação como positiva ou negativa.""",0.7,0.7272727272727273,10,0,inf
7,"""Classifique esta resenha de filme como sendo positiva ou negativa.""",0.81,0.8041237113402062,13,0,inf
7,"""Classifique esta avaliação de filme como positiva ou negativa.""",0.79,0.7878787878787878,12,0,1.2666666666666666
7,"""Determine se a crítica é positiva ou negativa.""",0.75,0.7619047619047619,11,0,1.4666666666666668
7,"""Classifique este feedback como positivo ou negativo.""",0.71,0.7433628318584071,10,0,inf
8,"""Classifique esta resenha de filme como sendo positiva ou negativa.""",0.81,0.8041237113402062,13,0,inf
8,"""Classifique esta avaliação de filme como positiva ou negativa.""",0.79,0.7878787878787878,12,0,2.0
8,"""Avalie este comentário como positivo ou negativo.""",0.76,0.7551020408163265,10,0,inf
9,"""Classifique esta resenha de filme como sendo positiva ou negativa.""",0.81,0.8041237113402062,13,0,inf
9,"""Classifique esta avaliação de filme como positiva ou negativa.""",0.79,0.7878787878787878,12,0,2.0
9,"""Avalie este comentário como positivo ou negativo.""",0.76,0.7551020408163265,10,0,inf
10,"""Classifique esta resenha de filme como sendo positiva ou negativa.""",0.81,0.8041237113402062,13,0,inf
10,"""Classifique esta avaliação de filme como positiva ou negativa.""",0.79,0.7878787878787878,12,0,2.0
10,"""Avalie este comentário como positivo ou negativo.""",0.76,0.7551020408163265,10,0,inf
