prompt,accuracy,f1,num_tokens
"Classifique o sentimento do comentário abaixo como ""positivo"" ou ""negativo"".",0.87,0.8539325842696629,15
"Classifique o sentimento do seguinte comentário como ""positivo"" ou ""negativo"":",0.86,0.8444444444444444,15
"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"":",0.83,0.8131868131868132,16
"Classifique o sentimento do comentário que se segue como ""positivo"" ou ""negativo"":",0.77,0.7927927927927928,17
"Classifique o sentimento expresso no seguinte comentário como ""positivo"" ou ""negativo"".",0.82,0.7906976744186046,16
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.81,0.7816091954022989,16
"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"":",0.79,0.7741935483870968,16
"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"" e explique brevemente sua escolha:",0.73,0.7567567567567568,21
"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"" e explique sua escolha:",0.72,0.75,20
"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"" e explique brevemente sua escolha: (F1: 0.87)",0.67,0.6915887850467289,26
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.47,0.5470085470085471,19
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.51,0.379746835443038,19
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.1,0.1,17
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.09,0.09900990099009901,15
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.05,0.07766990291262135,16
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.05,0.07766990291262135,17
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.09,0.061855670103092786,19
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.03,0.039603960396039604,14
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.02,0.0392156862745098,11
"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"":",0.84,0.8260869565217391,16
