prompt,accuracy,f1
"Classifique o sentimento da opinião a seguir sobre o filme como ""positivo"" ou ""negativo"".",0.88,0.8909090909090909
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.88,0.8888888888888888
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.88,0.8888888888888888
"Classifique o sentimento expresso na seguinte resenha de filme como ""positivo"" ou ""negativo"".",0.85,0.8623853211009175
"Classifique o sentimento da crítica a seguir em relação ao filme como ""positivo"" ou ""negativo"".",0.83,0.8468468468468469
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.84,0.8461538461538461
"Classifique o sentimento da crítica a seguir como ""positivo"" ou ""negativo"" em relação ao filme.",0.81,0.8288288288288288
"Classifique o sentimento da crítica a seguir sobre o filme como ""positivo"" ou ""negativo"".",0.8,0.8148148148148148
"Classifique o sentimento da crítica a seguir como ""positivo"" ou ""negativo"", analisando a opinião expressa sobre o filme.",0.77,0.7889908256880734
"Classifique a opinião a seguir sobre o filme como ""positivo"" ou ""negativo"".",0.6,0.6825396825396826
"Classifique a opinião a seguir sobre o filme como representando um sentimento ""positivo"" ou ""negativo"".",0.59,0.6771653543307087
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.67,0.6666666666666666
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.46,0.5344827586206896
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.44,0.5333333333333333
Analise o texto a seguir e determine se a opinião expressa é um sentimento 'positivo' ou 'negativo'.,0.43,0.5289256198347108
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.45,0.5132743362831859
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.4,0.4915254237288136
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.47,0.4854368932038835
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.28,0.3793103448275862
"Classifique a seguinte opinião sobre o filme como ""positivo"" ou ""negativo"".",0.62,0.6935483870967742
