context,question,correct_answer,answer_start
"Em termos absolutos, o planeta perdeu 52% de sua biodiversidade desde 1970, de acordo com um estudo de 2014 do World Wildlife Fund. O Living Planet Report 2014 afirma que ""o número de mamíferos, aves, répteis, anfíbios e peixes em todo o mundo é, em média, cerca da metade do tamanho de 40 anos atrás"". Desse número, 39% representam a fauna terrestre desaparecida, 39% a fauna marinha desaparecida e 76% a fauna de água doce desaparecida. A biodiversidade foi a maior atingida na América Latina, despencando 83%. Os países de alta renda apresentaram um aumento de 10% na biodiversidade, que foi cancelado por uma perda nos países de baixa renda. Isso apesar do fato de os países de alta renda usarem cinco vezes os recursos ecológicos dos países de baixa renda, o que foi explicado como resultado do processo pelo qual os países ricos terceirizam o esgotamento de recursos para os países mais pobres, que sofrem as maiores perdas do ecossistema.",Em que ano eles estudaram pelo World Wildlife Fund?,2014,103
"No passado, pequenos lotes de metais amorfos com configurações de alta área superficial (fitas, fios, filmes, etc.) foram produzidos através da implementação de taxas extremamente rápidas de resfriamento. Isso foi inicialmente denominado ""respingo de respingos"" pelo doutorando W. Klement da Caltech, que mostrou que taxas de resfriamento da ordem de milhões de graus por segundo são suficientes para impedir a formação de cristais, e os átomos metálicos ficam ""presos"" a um estado vítreo. Os fios de metal amorfo foram produzidos por pulverização de metal fundido em um disco de metal giratório. Mais recentemente, várias ligas foram produzidas em camadas com espessura superior a 1 milímetro. Estes são conhecidos como vidros metálicos a granel (BMG). A Liquidmetal Technologies vende vários BMGs baseados em zircônio. Também foram produzidos lotes de aço amorfo que demonstram propriedades mecânicas muito superiores às encontradas nas ligas de aço convencionais.","Quem cunhou o termo ""respingo de respingos""?",W. Klement,278
"A era helenística também viu um aumento na desilusão com a religião tradicional. A ascensão da filosofia e das ciências havia removido os deuses de muitos de seus domínios tradicionais, como seu papel no movimento dos corpos celestes e desastres naturais. Os sofistas proclamaram a centralidade da humanidade e do agnosticismo; a crença no euhemerismo (a visão de que os deuses eram simplesmente reis e heróis antigos) tornou-se popular. O filósofo popular Epicuro promoveu uma visão de deuses desinteressados que moravam longe da esfera humana na metacosmia. A apoteose dos governantes também trouxe a idéia da divindade à terra. Embora pareça ter havido um declínio substancial na religiosidade, isso foi reservado principalmente para as classes educadas.",A era helinística marcou o aumento de que tipo de religião?,tradicional,68
"Devido a muitos séculos de assentamentos intensivos, a maior parte da área é moldada pela influência humana. A vegetação natural original da Turíngia é a floresta com faias como espécies predominantes, como ainda pode ser encontrada nas montanhas Hainich hoje. Nas terras altas, uma mistura de faia e abeto seria natural. No entanto, a maioria das planícies foi limpa e está em uso agrícola intensivo, enquanto a maioria das florestas é plantada com abetos e pinheiros. Desde 1990, as florestas da Turíngia são gerenciadas visando uma vegetação mais natural e resistente, mais resistente às mudanças climáticas, assim como doenças e vermes. Em comparação com a floresta, a agricultura ainda é bastante convencional e dominada por grandes estruturas e monoculturas. Os problemas aqui são causados principalmente por períodos de seca cada vez mais prolongados durante os meses de verão.",De onde vêm a maioria dos problemas paisagísticos?,períodos de seca cada vez mais prolongados durante os meses de verão,815
"A tradução serviu como uma escola de escrita para muitos autores. Tradutores, incluindo monges que espalham textos budistas no leste da Ásia, e os primeiros tradutores europeus modernos da Bíblia, no decorrer de seu trabalho, moldaram as mesmas línguas para as quais eles traduziram. Eles agiram como pontes para transmitir conhecimento entre culturas; e, juntamente com as idéias, eles importaram dos idiomas de origem, para seus próprios idiomas, palavras emprestadas e calques de estruturas gramaticais, expressões idiomáticas e vocabulário.",O que os tradutores moldaram no decorrer de seu trabalho?,línguas,245
"Grupos de simetria são grupos que consistem em simetrias de determinados objetos matemáticos - sejam eles de natureza geométrica, como o grupo introdutório de simetria do quadrado, ou de natureza algébrica, como equações polinomiais e suas soluções. Conceitualmente, a teoria dos grupos pode ser pensada como o estudo da simetria. [›] As simetrias na matemática simplificam bastante o estudo de objetos geométricos ou analíticos. Diz-se que um grupo age sobre outro objeto matemático X se cada elemento do grupo executar alguma operação em X compatível com a lei de grupo. No exemplo mais à direita abaixo, um elemento da ordem 7 do grupo de triângulos (2,3,7) atua sobre a telha permutando os triângulos deformados destacados (e os outros também). Por uma ação de grupo, o padrão de grupo é conectado à estrutura do objeto que está sendo acionado.",Qual é o nome da regra que deve ser atendida para que uma operação de grupo ocorra?,lei de grupo,559
"O Times usou contribuições de figuras importantes nos campos da política, ciência, literatura e artes para construir sua reputação. Durante grande parte de sua infância, os lucros do The Times foram muito grandes e a concorrência, mínima, para que pudesse pagar muito melhor do que seus rivais por informações ou escritores. A partir de 1814, o papel foi impresso na nova prensa de cilindros a vapor desenvolvida por Friedrich Koenig. Em 1815, o Times teve uma circulação de 5.000.","Em 1815, o Times divulgou quantas pessoas?",5.000,475
"O estilo de Monroe envolvia tocar melodias de chumbo no estilo de um violinista, e também um som de percussão referido como ""o chop"" do som produzido pelas cordas rapidamente tocadas e silenciadas. Ele também aperfeiçoou um estilo de blues esparso e percussivo, especialmente no pescoço, em chaves que não tinham sido muito usadas na música country, notadamente B e E. Ele enfatizou uma mão direita poderosa e sincopada à custa do virtuosismo da mão esquerda. O seguidor mais influente de Monroe da segunda geração é Frank Wakefield e hoje Mike Compton, do Nashville Bluegrass Band, e David Long, que costumam fazer turnês em dueto. Tiny Moore, do Texas Playboys, desenvolveu um bandolim elétrico de cinco cordas e ajudou a popularizar o instrumento na Música ocidental do balanço.",Que tipo de música o bandolim elétrico de cinco cordas ajudou a popularizar?,Música ocidental do balanço,753
"Durante seu desenvolvimento, a MCA, que era co-proprietária da tecnologia, se referiu a ela como Sistema Óptico de Videodisco, ""Reflective Optical Videodisc"" ou ""Laser Optical Videodisc"", dependendo do documento; alterando o nome uma vez em 1969 para Disco-Vision e depois novamente em 1978 para DiscoVision (sem o hífen), que se tornou a grafia oficial. Documentos técnicos e folhetos produzidos pela MCA Disco-Vision durante o início e meados dos anos 70 também usaram o termo ""Disco-Vision Records"" para se referir aos discos pressionados. A MCA detinha os direitos do maior catálogo de filmes do mundo durante esse período e fabricou e distribuiu os lançamentos DiscoVision desses filmes sob o rótulo de software e fabricação ""MCA DiscoVision""; a venda ao consumidor desses títulos teve início em 15 de dezembro de 1978, com o referido mandíbula.",Qual empresa detinha os direitos da maior coleção de filmes do mundo durante a década de 1970?,MCA,545
"Em 6 de setembro de 2006, a Sony anunciou que o lançamento do PlayStation 3 na região PAL seria adiado para março de 2007, devido à escassez de materiais usados na unidade de Blu-ray. Na Tokyo Game Show, em 22 de setembro de 2006, a Sony anunciou que incluiria uma porta HDMI no sistema de 20 GB, mas um acabamento cromado, leitores de cartão de memória flash, logotipo prateado e Wi-Fi não seriam incluídos. Além disso, o preço de lançamento do modelo japonês de 20 GB foi reduzido em mais de 20%, e o modelo de 60 GB foi anunciado para um esquema de preços abertos no Japão. Durante o evento, a Sony mostrou 27 jogos PS3 jogáveis rodando no hardware final.",Quantos jogos jogáveis o PlayStation 3 quando chegou ao Tokyo Game Show de 2006?,27,610
