prompt,accuracy,f1
"Classifique o sentimento do seguinte texto como ""positivo"" ou ""negativo"".",0.84,0.813953488372093
"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", levando em conta o contexto e a emoção expressa nas palavras.",0.8,0.8
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", considerando as emoções e a intenção por trás das palavras.",0.68,0.7333333333333333
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.76,0.7209302325581395
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em conta o contexto e a emoção expressa nas palavras.",0.68,0.7192982456140351
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em consideração as emoções expressas e a intenção do autor.",0.66,0.7068965517241379
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em conta o contexto e as emoções transmitidas.",0.67,0.7027027027027027
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em conta o contexto e as emoções expressas.",0.67,0.7027027027027027
"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", considerando tanto as emoções manifestadas quanto o contexto da mensagem.",0.65,0.6902654867256637
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em conta as emoções transmitidas e o contexto das palavras.",0.61,0.6829268292682927
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.39,0.49586776859504134
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.48,0.4222222222222222
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.07,0.1308411214953271
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.12,0.12
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.09,0.08080808080808081
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.08,0.08
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.06,0.0784313725490196
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.04,0.04
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.02,0.0392156862745098
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", analisando o contexto, as emoções e a intenção contidas nas palavras.",0.69,0.7207207207207207
