prompt,accuracy,f1,num_tokens
Classifique o sentimento deste texto como 'positivo' ou 'negativo'.,0.92,0.9215686274509803,12
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.9,0.9056603773584906,19
Classifique o sentimento expressado neste texto como 'positivo' ou 'negativo'.,0.89,0.897196261682243,13
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.89,0.8952380952380953,16
Classifique o sentimento expresso neste texto como 'positivo' ou 'negativo'.,0.89,0.8932038834951457,13
Classifique o sentimento expressado neste texto como 'positivo' ou 'negativo'.,0.88,0.8823529411764706,13
Classifique o sentimento expressado neste texto como 'positivo' ou 'negativo'.,0.87,0.8761904761904762,13
Classifique o sentimento expresso neste texto como 'positivo' ou 'negativo'.,0.86,0.8679245283018868,13
"Classifique o sentimento do seguinte texto como 'positivo' ou 'negativo', levando em consideração as emoções e opiniões expressas.",0.86,0.8679245283018868,22
Classifique o sentimento expressado neste texto como 'positivo' ou 'negativo'.,0.86,0.8653846153846154,13
Classifique o sentimento expressado neste texto como 'positivo' ou 'negativo'.,0.86,0.8627450980392157,13
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.82,0.8269230769230769,19
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.55,0.5544554455445545,15
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.47,0.5470085470085471,17
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.45,0.5378151260504201,11
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.44,0.5172413793103449,19
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.4,0.5,17
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.42,0.48214285714285715,14
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.35,0.4628099173553719,16
"Classifique o sentimento deste texto como 'positivo', 'negativo' ou 'neutro'.",0.89,0.897196261682243,15
