generation,prompt,acc,f1,tokens,rank,crowding_distance
0,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.95,0.9494949494949496,11,0,inf
1,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.95,0.9494949494949496,11,0,inf
1,"""Determine se a crítica é positiva ou negativa.""",0.95,0.9494949494949496,11,0,inf
2,"""Classifique a crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
3,"""Classifique a crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
3,"""Classifique esta crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
4,"""Classifique a crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
4,"""Classifique esta crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
5,"""Classifique a crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
5,"""Classifique esta crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,0.0
5,"""Classifique este feedback como positivo ou negativo.""",0.95,0.9494949494949496,10,0,inf
6,"""Determine se este comentário é positivo ou negativo.""",0.96,0.96,11,0,inf
6,"""Classifique a crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
6,"""Classifique esta crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,0.0
6,"""Classifique este feedback como positivo ou negativo.""",0.95,0.9494949494949496,10,0,0.0
6,"""Classifique a avaliação como positiva ou negativa.""",0.95,0.9494949494949496,10,0,2.0
7,"""Determine se este comentário é positivo ou negativo.""",0.96,0.96,11,0,inf
7,"""Classifique a crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
7,"""Classifique esta crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,0.0
7,"""Classifique este feedback como positivo ou negativo.""",0.95,0.9494949494949496,10,0,0.0
7,"""Classifique a avaliação como positiva ou negativa.""",0.95,0.9494949494949496,10,0,2.0
8,"""Determine se este comentário é positivo ou negativo.""",0.96,0.96,11,0,inf
8,"""Classifique a crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
8,"""Classifique esta crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,0.0
8,"""Classifique este feedback como positivo ou negativo.""",0.95,0.9494949494949496,10,0,0.0
8,"""Classifique a avaliação como positiva ou negativa.""",0.95,0.9494949494949496,10,0,2.0
9,"""Determine se este comentário é positivo ou negativo.""",0.96,0.96,11,0,inf
9,"""Classifique a crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
9,"""Classifique esta crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,0.0
9,"""Classifique este feedback como positivo ou negativo.""",0.95,0.9494949494949496,10,0,0.0
9,"""Classifique a avaliação como positiva ou negativa.""",0.95,0.9494949494949496,10,0,0.0
9,"""Classifique este comentário em positivo ou negativo.""",0.95,0.9494949494949496,10,0,2.0
10,"""Determine se este comentário é positivo ou negativo.""",0.96,0.96,11,0,inf
10,"""Classifique a crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,inf
10,"""Classifique esta crítica como positiva ou negativa.""",0.95,0.9494949494949496,10,0,0.0
10,"""Classifique este feedback como positivo ou negativo.""",0.95,0.9494949494949496,10,0,0.0
10,"""Classifique a avaliação como positiva ou negativa.""",0.95,0.9494949494949496,10,0,0.0
10,"""Classifique este comentário em positivo ou negativo.""",0.95,0.9494949494949496,10,0,2.0
