model,strategy,prompt,accuracy,f1,num_tokens
maritalk,zero-shot,Classifique o sentimento deste texto como 'positivo' ou 'negativo'.,0.92,0.9215686274509803,12
maritalk,zero-shot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.9,0.9056603773584906,19
maritalk,zero-shot,Classifique o sentimento expressado neste texto como 'positivo' ou 'negativo'.,0.89,0.897196261682243,13
maritalk,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.89,0.8952380952380953,16
maritalk,zero-shot,Classifique o sentimento expresso neste texto como 'positivo' ou 'negativo'.,0.89,0.8932038834951457,13
maritalk,zero-shot,Classifique o sentimento expressado neste texto como 'positivo' ou 'negativo'.,0.88,0.8823529411764706,13
maritalk,zero-shot,Classifique o sentimento expressado neste texto como 'positivo' ou 'negativo'.,0.87,0.8761904761904762,13
maritalk,zero-shot,Classifique o sentimento expresso neste texto como 'positivo' ou 'negativo'.,0.86,0.8679245283018868,13
maritalk,zero-shot,"Classifique o sentimento do seguinte texto como 'positivo' ou 'negativo', levando em consideração as emoções e opiniões expressas.",0.86,0.8679245283018868,22
maritalk,zero-shot,Classifique o sentimento expressado neste texto como 'positivo' ou 'negativo'.,0.86,0.8653846153846154,13
maritalk,zero-shot,Classifique o sentimento expressado neste texto como 'positivo' ou 'negativo'.,0.86,0.8627450980392157,13
maritalk,zero-shot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.82,0.8269230769230769,19
maritalk,zero-shot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.55,0.5544554455445545,15
maritalk,zero-shot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.47,0.5470085470085471,17
maritalk,zero-shot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.45,0.5378151260504201,11
maritalk,zero-shot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.44,0.5172413793103449,19
maritalk,zero-shot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.4,0.5,17
maritalk,zero-shot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.42,0.48214285714285715,14
maritalk,zero-shot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.35,0.4628099173553719,16
maritalk,zero-shot,"Classifique o sentimento deste texto como 'positivo', 'negativo' ou 'neutro'.",0.89,0.897196261682243,15
maritalk,few-shot,"Classifique o sentimento desta crítica, indicando se a opinião expressa é positiva ou negativa em relação ao filme.",0.95,0.9504950495049505,20
maritalk,few-shot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.94,0.9411764705882353,11
maritalk,few-shot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.93,0.9320388349514563,16
maritalk,few-shot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.93,0.9320388349514563,17
maritalk,few-shot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.93,0.9306930693069307,15
maritalk,few-shot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.93,0.9306930693069307,19
maritalk,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.93,0.9292929292929293,16
maritalk,few-shot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.92,0.9230769230769231,17
maritalk,few-shot,"Classifique o sentimento desta opinião sobre o filme, indicando se é uma avaliação positiva ou negativa.",0.92,0.9230769230769231,18
maritalk,few-shot,Classifique a opinião expressa nesta crítica de filme como positiva ou negativa.,0.92,0.9215686274509803,13
maritalk,few-shot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.92,0.9215686274509803,14
maritalk,few-shot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.92,0.9215686274509803,19
maritalk,few-shot,"Classifique o sentimento desta avaliação, indicando se a opinião expressa é favorável ou desfavorável em relação ao filme.",0.92,0.9215686274509803,20
maritalk,few-shot,"Classifique o sentimento desta avaliação do filme, indicando se a opinião expressa é positiva ou negativa.",0.91,0.9142857142857143,18
maritalk,few-shot,"Classifique o sentimento desta avaliação de filme como positivo ou negativo, com base na opinião expressa.",0.9,0.9038461538461539,18
maritalk,few-shot,"Classifique a opinião expressa nesta crítica de filme como positiva ou negativa, identificando o sentimento predominante.",0.89,0.8952380952380953,18
maritalk,few-shot,"Classifique o sentimento desta crítica de filme como positivo ou negativo, indicando se a opinião expressa é de aprovação ou desaprovação.",0.89,0.8932038834951457,23
maritalk,few-shot,Analise a crítica a seguir e classifique o sentimento expresso como positivo ou negativo em relação ao filme.,0.86,0.8653846153846154,19
maritalk,few-shot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.79,0.7920792079207921,19
maritalk,few-shot,"Classifique o sentimento desta avaliação do filme como sendo positivo ou negativo, com base na opinião expressa.",0.89,0.8952380952380953,19
maritalk,cot,"Classifique o sentimento deste texto como 'positivo' ou 'negativo', levando em conta as emoções e a intenção do autor.",0.86,0.8703703703703703,23
maritalk,cot,"Classifique o sentimento expresso neste texto como 'positivo' ou 'negativo', analisando as emoções subjacentes e a intenção do autor.",0.85,0.8623853211009175,23
maritalk,cot,Identifique o sentimento predominante neste texto e classifique-o como 'positivo' ou 'negativo'.,0.84,0.8571428571428571,15
maritalk,cot,"Classifique o sentimento deste texto como 'positivo' ou 'negativo', considerando as emoções expressas e a intenção do autor.",0.84,0.8545454545454545,22
maritalk,cot,"Classifique o sentimento deste texto como 'positivo' ou 'negativo', considerando as emoções transmitidas e a perspectiva do autor.",0.83,0.8495575221238938,22
maritalk,cot,Analise o sentimento expressado neste comentário e determine se é 'positivo' ou 'negativo'.,0.82,0.8448275862068966,16
maritalk,cot,"Classifique o sentimento deste texto como 'positivo' ou 'negativo', considerando a emoção principal expressa.",0.81,0.8376068376068376,18
maritalk,cot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.8,0.8275862068965517,15
maritalk,cot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.79,0.8173913043478261,19
maritalk,cot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.78,0.8166666666666667,17
maritalk,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.78,0.8135593220338984,16
maritalk,cot,"Classifique o sentimento deste texto como 'positivo' ou 'negativo', levando em conta as emoções e opiniões expressas.",0.78,0.8103448275862069,21
maritalk,cot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.77,0.8,19
maritalk,cot,"Classifique o sentimento deste texto como 'positivo' ou 'negativo', levando em conta a emoção que mais se destaca.",0.75,0.7933884297520661,22
