prompt,accuracy,f1
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e inclua uma explicação sucinta que justifique sua escolha.",0.88,0.8888888888888888
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e apresente uma justificativa breve que explique sua decisão.",0.88,0.8888888888888888
"Classifique o sentimento do seguinte texto como ""positivo"" ou ""negativo"" e explique de forma concisa o motivo de sua escolha.",0.87,0.8807339449541285
"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"" e forneça uma justificativa clara e breve para sua escolha.",0.87,0.8737864077669902
"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"" e forneça uma breve justificativa para sua classificação.",0.86,0.8703703703703703
"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"" e forneça uma justificativa clara e sucinta para sua escolha.",0.86,0.8703703703703703
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.84,0.8571428571428571
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e apresente uma explicação sucinta para sua decisão.",0.84,0.8545454545454545
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.79,0.8141592920353983
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e explique a razão por trás da sua escolha.",0.78,0.8070175438596491
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", explicando brevemente sua escolha.",0.77,0.8067226890756303
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.76,0.8
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.74,0.7719298245614035
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.7,0.75
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.69,0.7304347826086957
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.65,0.7154471544715447
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.64,0.7142857142857143
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.62,0.7076923076923077
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.52,0.6190476190476191
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e forneça uma explicação clara e objetiva que sustente sua classificação.",0.83,0.8495575221238938
