prompt,accuracy,f1
"Analise a opinião sobre o filme e classifique o sentimento como positivo ou negativo, levando em conta os aspectos e emoções destacados na crítica.",0.81,0.8288288288288288
"Classifique o sentimento da opinião sobre o filme, determinando se é positivo ou negativo, levando em conta os elementos e emoções expressos na crítica.",0.79,0.8141592920353983
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.79,0.8108108108108109
"Classifique o sentimento da opinião expressa sobre o filme como positiva ou negativa, considerando os aspectos mencionados na crítica.",0.8,0.803921568627451
"Analise a opinião sobre o filme e classifique seu sentimento como positivo ou negativo, levando em consideração os aspectos e emoções expressos na crítica.",0.74,0.7868852459016393
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.78,0.7755102040816326
"Analise a opinião expressa sobre o filme e determine se o sentimento é positivo ou negativo, levando em conta os pontos destacados na crítica.",0.73,0.773109243697479
"Analise o sentimento da crítica apresentada e classifique-a como positiva ou negativa, levando em conta os principais pontos abordados pelo autor.",0.73,0.7610619469026548
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.71,0.7603305785123967
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.71,0.7563025210084033
"Analise a opinião sobre o filme e classifique o sentimento como positivo ou negativo, justificando sua escolha.",0.67,0.7401574803149606
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.67,0.736
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.61,0.7194244604316546
"Classifique o sentimento da opinião expressa, indicando se é positiva ou negativa, levando em conta os principais pontos abordados na crítica.",0.61,0.7111111111111111
"Classifique o sentimento da opinião a seguir, indicando se ele é positivo ou negativo em relação ao filme.",0.61,0.7022900763358778
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.6,0.6721311475409836
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.54,0.6714285714285714
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.5,0.5833333333333334
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.31,0.3783783783783784
"Analise a crítica sobre o filme e classifique o sentimento como positivo ou negativo, considerando os sentimentos e opiniões expressos ao longo do texto.",0.78,0.7962962962962963
