prompt,accuracy,f1_score,tokens,alert
"""Classifique a crítica do filme como 'positivo' ou 'negativo'.""",0.9,0.8979591836734694,14,
Avalie o sentimento desta crítica de filme e classifique-a como bom ou ruim.,0.89,0.8865979381443299,14,
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.88,0.8666666666666667,14,
"""Classifique esta crítica de filme como 'positivo' ou 'negativo'.""",0.88,0.8695652173913043,14,
"""Classifique o sentimento desta crítica de filme como 'positivo' ou 'negativo':""",0.88,0.8723404255319149,16,
"""Classifique o sentimento desta resenha de filme como 'positivo' ou 'negativo'.""",0.88,0.875,16,
"""Classifique a crítica do filme como 'positivo' ou 'negativo', indicando se é favorável ou desfavorável.""",0.88,0.8775510204081632,21,
"""Classifique a resenha do filme como 'positivo' ou 'negativo', identificando se é uma opinião favorável ou desfavorável.""",0.88,0.88,23,
"""Classifique o sentimento desta crítica de filme como 'positivo' ou 'negativo', indicando se o autor elogia ou critica.""",0.88,0.8775510204081632,24,
"""Classifique o sentimento desta resenha de filme como 'positivo' ou 'negativo'.""",0.87,0.865979381443299,16,
