model,strategy,prompt,accuracy,f1
maritalk,zero-shot,"Classifique o sentimento da opinião a seguir sobre o filme como ""positivo"" ou ""negativo"".",0.88,0.8909090909090909
maritalk,zero-shot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.88,0.8888888888888888
maritalk,zero-shot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.88,0.8888888888888888
maritalk,zero-shot,"Classifique o sentimento expresso na seguinte resenha de filme como ""positivo"" ou ""negativo"".",0.85,0.8623853211009175
maritalk,zero-shot,"Classifique o sentimento da crítica a seguir em relação ao filme como ""positivo"" ou ""negativo"".",0.83,0.8468468468468469
maritalk,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.84,0.8461538461538461
maritalk,zero-shot,"Classifique o sentimento da crítica a seguir como ""positivo"" ou ""negativo"" em relação ao filme.",0.81,0.8288288288288288
maritalk,zero-shot,"Classifique o sentimento da crítica a seguir sobre o filme como ""positivo"" ou ""negativo"".",0.8,0.8148148148148148
maritalk,zero-shot,"Classifique o sentimento da crítica a seguir como ""positivo"" ou ""negativo"", analisando a opinião expressa sobre o filme.",0.77,0.7889908256880734
maritalk,zero-shot,"Classifique a opinião a seguir sobre o filme como ""positivo"" ou ""negativo"".",0.6,0.6825396825396826
maritalk,zero-shot,"Classifique a opinião a seguir sobre o filme como representando um sentimento ""positivo"" ou ""negativo"".",0.59,0.6771653543307087
maritalk,zero-shot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.67,0.6666666666666666
maritalk,zero-shot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.46,0.5344827586206896
maritalk,zero-shot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.44,0.5333333333333333
maritalk,zero-shot,Analise o texto a seguir e determine se a opinião expressa é um sentimento 'positivo' ou 'negativo'.,0.43,0.5289256198347108
maritalk,zero-shot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.45,0.5132743362831859
maritalk,zero-shot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.4,0.4915254237288136
maritalk,zero-shot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.47,0.4854368932038835
maritalk,zero-shot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.28,0.3793103448275862
maritalk,zero-shot,"Classifique a seguinte opinião sobre o filme como ""positivo"" ou ""negativo"".",0.62,0.6935483870967742
maritalk,few-shot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.95,0.9504950495049505
maritalk,few-shot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.94,0.9411764705882353
maritalk,few-shot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.94,0.9411764705882353
maritalk,few-shot,Classifique o sentimento da opinião a seguir como sendo positivo ou negativo.,0.94,0.9411764705882353
maritalk,few-shot,Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo.,0.93,0.9320388349514563
maritalk,few-shot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.93,0.9306930693069307
maritalk,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.93,0.9292929292929293
maritalk,few-shot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.92,0.9215686274509803
maritalk,few-shot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.92,0.9215686274509803
maritalk,few-shot,Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo.,0.92,0.9215686274509803
maritalk,few-shot,Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo.,0.92,0.92
maritalk,few-shot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.91,0.912621359223301
maritalk,few-shot,Analise a opinião a seguir e classifique o sentimento expresso como positivo ou negativo.,0.91,0.912621359223301
maritalk,few-shot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.91,0.9108910891089109
maritalk,few-shot,Analise a seguinte opinião e classifique o sentimento como positivo ou negativo.,0.9,0.9038461538461539
maritalk,few-shot,Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo.,0.89,0.8932038834951457
maritalk,few-shot,"Classifique o sentimento da seguinte opinião como positivo ou negativo, explicando sua escolha.",0.88,0.8867924528301887
maritalk,few-shot,"Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo, explicando sua escolha.",0.85,0.8648648648648649
maritalk,few-shot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.73,0.7096774193548387
maritalk,few-shot,Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo.,0.92,0.9215686274509803
maritalk,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e inclua uma explicação sucinta que justifique sua escolha.",0.88,0.8888888888888888
maritalk,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e apresente uma justificativa breve que explique sua decisão.",0.88,0.8888888888888888
maritalk,cot,"Classifique o sentimento do seguinte texto como ""positivo"" ou ""negativo"" e explique de forma concisa o motivo de sua escolha.",0.87,0.8807339449541285
maritalk,cot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"" e forneça uma justificativa clara e breve para sua escolha.",0.87,0.8737864077669902
maritalk,cot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"" e forneça uma breve justificativa para sua classificação.",0.86,0.8703703703703703
maritalk,cot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"" e forneça uma justificativa clara e sucinta para sua escolha.",0.86,0.8703703703703703
maritalk,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.84,0.8571428571428571
maritalk,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e apresente uma explicação sucinta para sua decisão.",0.84,0.8545454545454545
maritalk,cot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.79,0.8141592920353983
maritalk,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e explique a razão por trás da sua escolha.",0.78,0.8070175438596491
maritalk,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", explicando brevemente sua escolha.",0.77,0.8067226890756303
maritalk,cot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.76,0.8
maritalk,cot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.74,0.7719298245614035
maritalk,cot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.7,0.75
maritalk,cot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.69,0.7304347826086957
maritalk,cot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.65,0.7154471544715447
maritalk,cot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.64,0.7142857142857143
maritalk,cot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.62,0.7076923076923077
maritalk,cot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.52,0.6190476190476191
maritalk,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e forneça uma explicação clara e objetiva que sustente sua classificação.",0.83,0.8495575221238938
