prompt,accuracy,f1
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.95,0.9504950495049505
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.94,0.9411764705882353
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.94,0.9411764705882353
Classifique o sentimento da opinião a seguir como sendo positivo ou negativo.,0.94,0.9411764705882353
Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo.,0.93,0.9320388349514563
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.93,0.9306930693069307
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.93,0.9292929292929293
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.92,0.9215686274509803
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.92,0.9215686274509803
Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo.,0.92,0.9215686274509803
Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo.,0.92,0.92
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.91,0.912621359223301
Analise a opinião a seguir e classifique o sentimento expresso como positivo ou negativo.,0.91,0.912621359223301
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.91,0.9108910891089109
Analise a seguinte opinião e classifique o sentimento como positivo ou negativo.,0.9,0.9038461538461539
Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo.,0.89,0.8932038834951457
"Classifique o sentimento da seguinte opinião como positivo ou negativo, explicando sua escolha.",0.88,0.8867924528301887
"Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo, explicando sua escolha.",0.85,0.8648648648648649
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.73,0.7096774193548387
Classifique o sentimento da seguinte opinião sobre o filme como positivo ou negativo.,0.92,0.9215686274509803
