prompt,accuracy,f1,num_tokens
"Identifique o sentimento do texto abaixo e classifique-o como ""positivo"" ou ""negativo"".",0.82,0.8333333333333334,17
"Avalie o sentimento presente no texto abaixo e indique se ele é ""positivo"" ou ""negativo"".",0.81,0.831858407079646,20
"Analise o texto a seguir e determine se o sentimento expresso é ""positivo"" ou ""negativo"".",0.8,0.8245614035087719,20
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.78,0.8166666666666667,16
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.82,0.8085106382978723,17
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.74,0.7868852459016393,16
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.76,0.7818181818181819,15
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.71,0.7642276422764228,16
Analise o sentimento expresso neste comentário e determine se é uma avaliação positiva ou negativa.,0.71,0.7642276422764228,16
"Identifique o sentimento contido no texto abaixo e classifique-o como ""positivo"" ou ""negativo"".",0.7,0.7619047619047619,18
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.69,0.7479674796747967,16
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.64,0.7313432835820896,19
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", explicando brevemente sua escolha.",0.58,0.6911764705882353,21
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.56,0.6901408450704225,19
"Identifique o sentimento expresso no texto a seguir e classifique-o como ""positivo"" ou ""negativo"".",0.56,0.6811594202898551,19
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.54,0.6805555555555556,19
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.59,0.672,11
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.56,0.6271186440677966,14
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.31,0.3893805309734513,17
"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"".",0.66,0.734375,15
