model,strategy,prompt,accuracy,f1,num_tokens
gemma:2b,zero-shot,"Classifique o sentimento do comentário abaixo como ""positivo"" ou ""negativo"".",0.87,0.8539325842696629,15
gemma:2b,zero-shot,"Classifique o sentimento do seguinte comentário como ""positivo"" ou ""negativo"":",0.86,0.8444444444444444,15
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"":",0.83,0.8131868131868132,16
gemma:2b,zero-shot,"Classifique o sentimento do comentário que se segue como ""positivo"" ou ""negativo"":",0.77,0.7927927927927928,17
gemma:2b,zero-shot,"Classifique o sentimento expresso no seguinte comentário como ""positivo"" ou ""negativo"".",0.82,0.7906976744186046,16
gemma:2b,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.81,0.7816091954022989,16
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"":",0.79,0.7741935483870968,16
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"" e explique brevemente sua escolha:",0.73,0.7567567567567568,21
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"" e explique sua escolha:",0.72,0.75,20
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"" e explique brevemente sua escolha: (F1: 0.87)",0.67,0.6915887850467289,26
gemma:2b,zero-shot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.47,0.5470085470085471,19
gemma:2b,zero-shot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.51,0.379746835443038,19
gemma:2b,zero-shot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.1,0.1,17
gemma:2b,zero-shot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.09,0.09900990099009901,15
gemma:2b,zero-shot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.05,0.07766990291262135,16
